idiom,label,count
"mov rcx, [rbp+var_298]  | * | mov rcx, [rbp+var_290] ",xcode,1
"mov [rbp+var_290], rcx  | * | movzx edx, byte ptr [rcx] ",xcode,1
"mov rcx, [rbp+var_290]  | * | and edx, 1 ",xcode,1
"and edx, 1  | * | mov [rbp+var_510], rax ",xcode,1
"cmp edx, 0  | * | jz loc_1000012D4 ",xcode,1
"mov [rbp+var_510], rax  | * | mov rax, [rbp+var_510] ",xcode,2
"jz loc_1000012D4  | * | mov [rbp+var_260], rax ",xcode,1
"mov rax, [rbp+var_510]  | * | mov rcx, [rbp+var_260] ",xcode,1
"mov [rbp+var_260], rax  | * | mov [rbp+var_258], rcx ",xcode,1
"mov rcx, [rbp+var_260]  | * | mov rcx, [rbp+var_258] ",xcode,1
"mov [rbp+var_258], rcx  | * | mov [rbp+var_250], rcx ",xcode,1
"mov rcx, [rbp+var_258]  | * | mov rcx, [rbp+var_250] ",xcode,1
"mov [rbp+var_250], rcx  | * | mov rcx, [rcx+10h] ",xcode,1
"mov rcx, [rbp+var_250]  | * | mov [rbp+var_518], rcx ",xcode,1
"mov rcx, [rcx+10h]  | * | jmp loc_10000132F ",xcode,1
"mov [rbp+var_518], rcx  | * | loc_1000012D4:  ",xcode,1
"jmp loc_10000132F  | * | mov rax, [rbp+var_510] ",xcode,1
"loc_1000012D4:   | * | mov [rbp+var_288], rax ",xcode,1
"mov rax, [rbp+var_510]  | * | mov rcx, [rbp+var_288] ",xcode,1
"mov [rbp+var_288], rax  | * | mov [rbp+var_280], rcx ",xcode,1
"mov rcx, [rbp+var_288]  | * | mov rcx, [rbp+var_280] ",xcode,1
"mov [rbp+var_280], rcx  | * | mov [rbp+var_278], rcx ",xcode,1
"mov rcx, [rbp+var_280]  | * | mov rcx, [rbp+var_278] ",xcode,1
"mov [rbp+var_278], rcx  | * | add rcx, 1 ",xcode,1
"mov rcx, [rbp+var_278]  | * | mov [rbp+var_270], rcx ",xcode,1
"add rcx, 1  | * | mov rcx, [rbp+var_270] ",xcode,1
