idiom,label,count
var_68 = qword ptr -68h  | * | var_50 = qword ptr -50h ,data,1
var_60 = qword ptr -60h  | * | var_48 = qword ptr -48h ,data,1
var_50 = qword ptr -50h  | * | var_40 = byte ptr -40h ,data,1
var_40 = byte ptr -40h  | * | var_30 = qword ptr -30h ,data,1
"push rbp  | * | sub rsp, 220h ",xcode,1
"mov rbp, rsp  | * | mov rdi, cs:__ZNSt3__13cinE_ptr ",xcode,1
"sub rsp, 220h  | * | lea rsi, [rbp+var_164] ",xcode,1
"mov rdi, cs:__ZNSt3__13cinE_ptr  | * | mov [rbp+var_160], 0 ",xcode,1
"lea rsi, [rbp+var_164]  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,1
"mov [rbp+var_160], 0  | * | mov [rbp+var_168], 1 ",xcode,1
"call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi   | * | mov [rbp+var_1A8], rax ",xcode,1
"mov [rbp+var_168], 1  | * | loc_100001599:  ",xcode,1
"mov [rbp+var_1A8], rax  | * | mov eax, [rbp+var_168] ",xcode,1
"loc_100001599:   | * | cmp eax, [rbp+var_164] ",xcode,1
"mov eax, [rbp+var_168]  | * | jg loc_100001DD4 ",xcode,1
"cmp eax, [rbp+var_164]  | * | lea rdi, aD  ",xcode,1
"jg loc_100001DD4  | * | lea rsi, _n ",xcode,1
"lea rdi, aD   | * | mov al, 0 ",xcode,1
"lea rsi, _n  | * | call _scanf ",xcode,1
"mov al, 0  | * | mov [rbp+var_16C], 0 ",xcode,1
"call _scanf  | * | mov [rbp+var_1AC], eax ",xcode,1
"mov [rbp+var_16C], 0  | * | loc_1000015D0:  ",xcode,1
"mov [rbp+var_1AC], eax  | * | mov eax, [rbp+var_16C] ",xcode,1
"loc_1000015D0:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_16C]  | * | jge loc_1000016FF ",xcode,1
"cmp eax, cs:_n  | * | lea rax, _v ",xcode,1
"jge loc_1000016FF  | * | movsxd rcx, [rbp+var_16C] ",xcode,1
"lea rax, _v  | * | imul rcx, 18h ",xcode,1
"movsxd rcx, [rbp+var_16C]  | * | add rax, rcx ",xcode,1
"imul rcx, 18h  | * | mov [rbp+var_150], rax ",xcode,1
"add rax, rcx  | * | mov rax, [rbp+var_150] ",xcode,1
"mov [rbp+var_150], rax  | * | mov rcx, rax ",xcode,1
"mov rax, [rbp+var_150]  | * | mov [rbp+var_148], rcx ",xcode,1
"mov rcx, rax  | * | mov rcx, [rbp+var_148] ",xcode,1
"mov [rbp+var_148], rcx  | * | mov rdx, [rcx] ",xcode,1
"mov rcx, [rbp+var_148]  | * | mov [rbp+var_128], rcx ",xcode,1
"mov rdx, [rcx]  | * | mov [rbp+var_130], rdx ",xcode,1
"mov [rbp+var_128], rcx  | * | mov rcx, [rbp+var_128] ",xcode,1
"mov [rbp+var_130], rdx  | * | mov [rbp+var_1B8], rax ",xcode,1
"mov rcx, [rbp+var_128]  | * | mov [rbp+var_1C0], rcx ",xcode,1
"mov [rbp+var_1B8], rax  | * | loc_10000163F:  ",xcode,1
"mov [rbp+var_1C0], rcx  | * | mov rax, [rbp+var_130] ",xcode,1
"loc_10000163F:   | * | mov rcx, [rbp+var_1C0] ",xcode,1
"mov rax, [rbp+var_130]  | * | cmp rax, [rcx+8] ",xcode,1
"mov rcx, [rbp+var_1C0]  | * | jz loc_1000016DB ",xcode,1
"cmp rax, [rcx+8]  | * | mov rax, [rbp+var_1C0] ",xcode,1
"jz loc_1000016DB  | * | mov [rbp+var_120], rax ",xcode,1
"mov rax, [rbp+var_1C0]  | * | mov rcx, [rbp+var_120] ",xcode,1
"mov [rbp+var_120], rax  | * | add rcx, 10h ",xcode,1
"mov rcx, [rbp+var_120]  | * | mov [rbp+var_118], rcx ",xcode,1
"add rcx, 10h  | * | mov rcx, [rbp+var_118] ",xcode,1
"mov [rbp+var_118], rcx  | * | mov [rbp+var_110], rcx ",xcode,1
"mov rcx, [rbp+var_118]  | * | mov rcx, [rbp+var_110] ",xcode,1
"mov [rbp+var_110], rcx  | * | mov rdx, [rax+8] ",xcode,1
"mov rcx, [rbp+var_110]  | * | add rdx, 0FFFFFFFFFFFFFFFCh ",xcode,1
"mov rdx, [rax+8]  | * | mov [rax+8], rdx ",xcode,2
"add rdx, 0FFFFFFFFFFFFFFFCh  | * | mov [rbp+var_D8], rdx ",xcode,1
"mov [rax+8], rdx  | * | mov rdx, [rbp+var_D8] ",xcode,1
"mov [rbp+var_D8], rdx  | * | mov [rbp+var_F0], rcx ",xcode,1
"mov rdx, [rbp+var_D8]  | * | mov [rbp+var_F8], rdx ",xcode,1
"mov [rbp+var_F0], rcx  | * | mov rcx, [rbp+var_F0] ",xcode,3
"mov [rbp+var_F8], rdx  | * | mov rdx, [rbp+var_F8] ",xcode,1
"mov rcx, [rbp+var_F0]  | * | mov [rbp+var_E0], rcx ",xcode,1
"mov rdx, [rbp+var_F8]  | * | mov [rbp+var_E8], rdx ",xcode,1
"mov [rbp+var_E0], rcx  | * | jmp loc_10000163F ",xcode,1
"mov [rbp+var_E8], rdx  | * | loc_1000016DB:  ",xcode,1
"jmp loc_10000163F  | * | mov rax, [rbp+var_1B8] ",xcode,1
"loc_1000016DB:   | * | mov [rbp+var_D0], rax ",xcode,1
"mov rax, [rbp+var_1B8]  | * | mov eax, [rbp+var_16C] ",xcode,1
"mov [rbp+var_D0], rax  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_16C]  | * | mov [rbp+var_16C], eax ",xcode,1
"add eax, 1  | * | jmp loc_1000015D0 ",xcode,1
"mov [rbp+var_16C], eax  | * | loc_1000016FF:  ",xcode,1
"jmp loc_1000015D0  | * | mov [rbp+var_170], 0 ",xcode,1
loc_1000016FF:   | * | loc_100001709:  ,xcode,1
"mov [rbp+var_170], 0  | * | mov eax, [rbp+var_170] ",xcode,1
"loc_100001709:   | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_170]  | * | cmp eax, cs:_n ",xcode,1
"add eax, 1  | * | jge loc_1000018BD ",xcode,1
