idiom,label,count
var_170 = qword ptr -170h  | * | var_160 = byte ptr -160h ,data,1
var_168 = qword ptr -168h  | * | var_158 = qword ptr -158h ,data,8
var_160 = byte ptr -160h  | * | var_150 = qword ptr -150h ,data,1
var_158 = qword ptr -158h  | * | var_148 = qword ptr -148h ,data,9
var_150 = qword ptr -150h  | * | var_140 = qword ptr -140h ,data,8
var_148 = qword ptr -148h  | * | var_138 = qword ptr -138h ,data,7
var_140 = qword ptr -140h  | * | var_130 = qword ptr -130h ,data,8
var_138 = qword ptr -138h  | * | var_128 = qword ptr -128h ,data,11
var_130 = qword ptr -130h  | * | var_120 = dword ptr -120h ,data,1
var_128 = qword ptr -128h  | * | var_11C = dword ptr -11Ch ,data,1
var_120 = dword ptr -120h  | * | var_118 = qword ptr -118h ,data,1
var_11C = dword ptr -11Ch  | * | var_110 = qword ptr -110h ,data,1
var_118 = qword ptr -118h  | * | var_108 = qword ptr -108h ,data,15
var_110 = qword ptr -110h  | * | var_100 = qword ptr -100h ,data,14
var_108 = qword ptr -108h  | * | var_F8 = qword ptr -0F8h ,data,16
var_100 = qword ptr -100h  | * | var_F0 = qword ptr -0F0h ,data,14
var_F8 = qword ptr -0F8h  | * | var_E0 = qword ptr -0E0h ,data,2
var_F0 = qword ptr -0F0h  | * | var_D8 = qword ptr -0D8h ,data,1
var_E0 = qword ptr -0E0h  | * | var_D0 = byte ptr -0D0h ,data,1
var_D8 = qword ptr -0D8h  | * | var_C8 = qword ptr -0C8h ,data,16
var_D0 = byte ptr -0D0h  | * | var_C0 = qword ptr -0C0h ,data,1
var_C8 = qword ptr -0C8h  | * | var_B8 = qword ptr -0B8h ,data,18
var_C0 = qword ptr -0C0h  | * | var_B0 = qword ptr -0B0h ,data,20
var_B8 = qword ptr -0B8h  | * | var_A8 = qword ptr -0A8h ,data,21
var_B0 = qword ptr -0B0h  | * | var_A0 = qword ptr -0A0h ,data,19
var_A8 = qword ptr -0A8h  | * | var_98 = qword ptr -98h ,data,18
var_A0 = qword ptr -0A0h  | * | var_90 = qword ptr -90h ,data,20
var_98 = qword ptr -98h  | * | var_88 = qword ptr -88h ,data,20
var_90 = qword ptr -90h  | * | var_80 = qword ptr -80h ,data,21
var_88 = qword ptr -88h  | * | var_78 = qword ptr -78h ,data,20
var_80 = qword ptr -80h  | * | var_70 = qword ptr -70h ,data,16
var_78 = qword ptr -78h  | * | var_68 = qword ptr -68h ,data,18
var_70 = qword ptr -70h  | * | var_60 = qword ptr -60h ,data,19
var_68 = qword ptr -68h  | * | var_58 = qword ptr -58h ,data,20
var_60 = qword ptr -60h  | * | var_50 = qword ptr -50h ,data,21
var_58 = qword ptr -58h  | * | var_48 = qword ptr -48h ,data,20
var_50 = qword ptr -50h  | * | var_40 = qword ptr -40h ,data,19
var_48 = qword ptr -48h  | * | var_38 = qword ptr -38h ,data,22
var_40 = qword ptr -40h  | * | var_30 = qword ptr -30h ,data,21
var_38 = qword ptr -38h  | * | var_28 = qword ptr -28h ,data,23
var_30 = qword ptr -30h  | * | var_20 = qword ptr -20h ,data,22
var_28 = qword ptr -28h  | * | var_18 = qword ptr -18h ,data,24
var_20 = qword ptr -20h  | * | var_10 = qword ptr -10h ,data,27
var_18 = qword ptr -18h  | * | var_8 = qword ptr -8 ,data,26
"push rbp  | * | sub rsp, 5E0h ",xcode,1
"mov rbp, rsp  | * | mov [rbp+var_508], edi ",xcode,1
"sub rsp, 5E0h  | * | mov [rbp+var_50C], esi ",xcode,1
"mov [rbp+var_508], edi  | * | mov esi, [rbp+var_50C] ",xcode,1
"mov [rbp+var_50C], esi  | * | cmp esi, cs:_k ",xcode,1
"mov esi, [rbp+var_50C]  | * | jnz loc_100001809 ",xcode,1
"cmp esi, cs:_k  | * | mov [rbp+var_510], 0 ",xcode,1
jnz loc_100001809  | * | loc_100001793:  ,xcode,1
"mov [rbp+var_510], 0  | * | mov eax, [rbp+var_510] ",xcode,1
"loc_100001793:   | * | cmp eax, cs:_k ",xcode,1
"mov eax, [rbp+var_510]  | * | jge loc_1000017EB ",xcode,1
