idiom,label,count
sub_401000 proc near   | * | jmp ds:??1exception@std@@UAE@XZ  ,msvc,1
"mov ecx, [esi+8]  | * | sar edi, 2 ",msvc,1
"sub edi, edx  | * | cmp eax, ecx ",msvc,1
"sar edi, 2  | * | jnz short loc_401251 ",msvc,1
"cmp eax, ecx  | * | sub eax, edx ",msvc,1
"jnz short loc_401251  | * | sar eax, 2 ",msvc,1
"sub eax, edx  | * | cmp eax, 3FFFFFFEh ",msvc,2
"sar eax, 2  | * | ja loc_401523 ",msvc,2
"cmp eax, 3FFFFFFEh  | * | sub ecx, edx ",msvc,2
ja loc_401523  | * | inc eax ,msvc,2
"sub ecx, edx  | * | sar ecx, 2 ",msvc,2
"inc eax  | * | cmp eax, ecx ",msvc,2
"sar ecx, 2  | * | jbe short loc_401251 ",msvc,1
"cmp eax, ecx  | * | mov edx, ecx ",msvc,2
"jbe short loc_401251  | * | shr edx, 1 ",msvc,1
"mov edx, ecx  | * | mov ebx, 3FFFFFFFh ",msvc,1
"shr edx, 1  | * | sub ebx, edx ",msvc,1
"mov ebx, 3FFFFFFFh  | * | cmp ebx, ecx ",msvc,1
"sub ebx, edx  | * | jnb short loc_40123F ",msvc,1
"cmp ebx, ecx  | * | xor ecx, ecx ",msvc,1
jnb short loc_40123F  | * | jmp short loc_401241 ,msvc,1
"xor ecx, ecx  | * | loc_40123F:  ",msvc,1
"jmp short loc_401241  | * | add ecx, edx ",msvc,1
loc_40123F:   | * | loc_401241:  ,msvc,1
"add ecx, edx  | * | cmp ecx, eax ",msvc,2
loc_401241:   | * | jnb short loc_401247 ,msvc,1
"cmp ecx, eax  | * | mov ecx, eax ",msvc,2
jnb short loc_401247  | * | loc_401247:  ,msvc,1
"mov ecx, eax  | * | push ecx ",msvc,2
loc_401247:   | * | call sub_4015E0 ,msvc,1
"push ecx  | * | mov ebx, [esp+30h+var_20] ",msvc,1
call sub_4015E0  | * | loc_401251:  ,msvc,1
"mov ebx, [esp+30h+var_20]  | * | mov eax, [esi+4] ",msvc,1
"loc_401251:   | * | test eax, eax ",msvc,1
"mov eax, [esi+4]  | * | jz short loc_4012AE ",msvc,2
"test eax, eax  | * | mov edx, [esi] ",msvc,1
"jz short loc_4012AE  | * | mov ecx, [edx+edi*4] ",msvc,1
"mov edx, [esi]  | * | mov [eax], ecx ",msvc,1
"mov ecx, [edx+edi*4]  | * | jmp short loc_4012AE ",msvc,1
"mov [eax], ecx  | * | loc_401261:  ",msvc,1
"jmp short loc_4012AE  | * | mov ecx, [esi+8] ",msvc,1
"loc_401261:   | * | cmp eax, ecx ",msvc,1
"mov ecx, [esi+8]  | * | jnz short loc_4012A5 ",msvc,1
"cmp eax, ecx  | * | mov edx, [esi] ",msvc,1
"jnz short loc_4012A5  | * | sub eax, edx ",msvc,1
"mov edx, [esi]  | * | sar eax, 2 ",msvc,1
"sar ecx, 2  | * | jbe short loc_4012A5 ",msvc,1
"jbe short loc_4012A5  | * | shr edx, 1 ",msvc,1
"mov edx, ecx  | * | mov edi, 3FFFFFFFh ",msvc,1
"shr edx, 1  | * | sub edi, edx ",msvc,1
"mov edi, 3FFFFFFFh  | * | cmp edi, ecx ",msvc,1
"sub edi, edx  | * | jnb short loc_401297 ",msvc,1
"cmp edi, ecx  | * | xor ecx, ecx ",msvc,1
jnb short loc_401297  | * | jmp short loc_401299 ,msvc,1
"xor ecx, ecx  | * | loc_401297:  ",msvc,1
"jmp short loc_401299  | * | add ecx, edx ",msvc,1
loc_401297:   | * | loc_401299:  ,msvc,1
loc_401299:   | * | jnb short loc_40129F ,msvc,1
jnb short loc_40129F  | * | loc_40129F:  ,msvc,1
loc_40129F:   | * | call sub_4015E0 ,msvc,1
push ecx  | * | loc_4012A5:  ,msvc,1
"call sub_4015E0  | * | mov eax, [esi+4] ",msvc,1
"loc_4012A5:   | * | test eax, eax ",msvc,1
"test eax, eax  | * | mov [eax], ebx ",msvc,1
jz short loc_4012AE  | * | loc_4012AE:  ,msvc,1
"mov [eax], ebx  | * | add dword ptr [esi+4], 4 ",msvc,1
"loc_4012AE:   | * | mov esi, dword_406308 ",msvc,1
"add dword ptr [esi+4], 4  | * | inc ebx ",msvc,1
"mov esi, dword_406308  | * | lea edx, [ebx+1] ",msvc,1
"inc ebx  | * | mov [esp+30h+var_20], ebx ",msvc,1
"lea edx, [ebx+1]  | * | cmp edx, esi ",msvc,1
"mov [esp+30h+var_20], ebx  | * | jl loc_4011D0 ",msvc,1
"cmp edx, esi  | * | loc_4012C8:  ",msvc,1
"jl loc_4011D0  | * | mov ebx, 1 ",msvc,1
"loc_4012C8:   | * | cmp esi, ebx ",msvc,1
"mov ebx, 1  | * | jle short loc_40130E ",msvc,1
