idiom,label,count
"mov ds:qword_60D470[r13], r12  | * | jmp short loc_40131D ",icc,1
"mov rax, cs:s  | * | loc_4012FD:  ",icc,1
"jmp short loc_40131D  | * | test rcx, rcx ",icc,1
loc_4012FD:   | * | jz short loc_401312 ,icc,1
"test rcx, rcx  | * | mov [rcx], ebx ",icc,1
"jz short loc_401312  | * | mov rax, cs:s ",icc,1
"mov [rcx], ebx  | * | mov rcx, ds:qword_60D468[r13] ",icc,1
"mov rax, cs:s  | * | loc_401312:  ",icc,1
"mov rcx, ds:qword_60D468[r13]  | * | add rcx, 4 ",icc,2
"loc_401312:   | * | mov ds:qword_60D468[r13], rcx ",icc,1
"add rcx, 4  | * | loc_40131D:  ",icc,1
"mov ds:qword_60D468[r13], rcx  | * | cmp dword ptr [rax-8], 0 ",icc,1
loc_40131D:   | * | jl short loc_401334 ,icc,1
jl short loc_401334  | * | call __ZNSs12_M_leak_hardEv  ,icc,1
call __ZNSs12_M_leak_hardEv   | * | loc_401334:  ,icc,1
"mov rax, cs:s  | * | mov dl, [rax+r14] ",icc,1
"loc_401334:   | * | cmp dl, 6Fh  ",icc,1
"mov dl, [rax+r14]  | * | jz loc_40183C ",icc,1
"cmp dl, 6Fh   | * | cmp dl, 69h  ",icc,2
jz loc_40183C  | * | jz loc_40183C ,icc,7
"cmp dl, 69h   | * | cmp dl, 65h  ",icc,2
"cmp dl, 65h   | * | cmp dl, 61h  ",icc,2
"cmp dl, 61h   | * | cmp dl, 73h  ",icc,2
"cmp dl, 73h   | * | cmp dl, 74h  ",icc,2
"cmp dl, 74h   | * | cmp dl, 62h  ",icc,2
"cmp dl, 62h   | * | cmp dl, 67h  ",icc,1
"cmp dl, 67h   | * | loc_401380:  ",icc,1
jz loc_40183C  | * | inc r14 ,icc,1
"loc_401380:   | * | add r13, 18h ",icc,1
"inc r14  | * | movsxd rax, cs:m ",icc,1
"add r13, 18h  | * | cmp r14, rax ",icc,1
"movsxd rax, cs:m  | * | jge short loc_40139F ",icc,1
"cmp r14, rax  | * | mov rax, cs:s ",icc,1
jge short loc_40139F  | * | jmp loc_40116D ,icc,1
"mov rax, cs:s  | * | loc_40139F:  ",icc,1
"jmp loc_40116D  | * | xor ebx, ebx ",icc,1
"loc_40139F:   | * | mov r12d, 1 ",icc,1
"xor ebx, ebx  | * | loc_4013A7:  ",icc,1
"mov r12d, 1  | * | mov eax, 80h ",icc,1
