idiom,label,count
__Z4readv proc near   | * | push rbp ,xcode,1
"mov [rbp+var_8C], eax  | * | cdq ",xcode,1
"mov eax, ecx  | * | mov ecx, [rbp+var_8C] ",xcode,1
"mov ecx, [rbp+var_8C]  | * | movsxd rsi, eax ",xcode,1
"idiv ecx  | * | mov rdi, [rbp+var_70] ",xcode,1
"movsxd rsi, eax  | * | add rdi, rsi ",xcode,1
"mov rdi, [rbp+var_70]  | * | mov [rbp+var_70], rdi ",xcode,1
"add rdi, rsi  | * | loc_100000AD4:  ",xcode,1
"mov [rbp+var_70], rdi  | * | jmp $+5 ",xcode,1
loc_100000AD4:   | * | loc_100000AD9:  ,xcode,1
"jmp $+5  | * | mov eax, [rbp+var_74] ",xcode,1
"loc_100000AD9:   | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_74]  | * | mov [rbp+var_74], eax ",xcode,1
"add eax, 1  | * | jmp loc_100000929 ",xcode,1
"mov [rbp+var_74], eax  | * | loc_100000AE9:  ",xcode,1
"jmp loc_100000929  | * | mov rdi, cs:__ZNSt3__14coutE_ptr ",xcode,1
"loc_100000AE9:   | * | mov rsi, [rbp+var_70] ",xcode,1
"mov rdi, cs:__ZNSt3__14coutE_ptr  | * | call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEx  ",xcode,1
"mov rsi, [rbp+var_70]  | * | lea rsi, __ZNSt3__14endlIcNS_11char_traitsIcEEEERNS_13basic_ostreamIT_T0_EES7_  ",xcode,1
"call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEx   | * | mov [rbp+var_8], rax ",xcode,1
"lea rsi, __ZNSt3__14endlIcNS_11char_traitsIcEEEERNS_13basic_ostreamIT_T0_EES7_   | * | mov [rbp+var_10], rsi ",xcode,1
"mov [rbp+var_8], rax  | * | mov rdi, [rbp+var_8] ",xcode,1
"mov [rbp+var_10], rsi  | * | call [rbp+var_10] ",xcode,1
"mov rdi, [rbp+var_8]  | * | mov [rbp+var_98], rax ",xcode,1
"call [rbp+var_10]  | * | add rsp, 0A0h ",xcode,1
"mov [rbp+var_98], rax  | * | pop rbp ",xcode,1
"add rsp, 0A0h  | * | retn ",xcode,1
pop rbp  | * | __Z5solvev endp ,xcode,1
__Z5solvev endp  | * | public _main ,xcode,1
align 20h  | * | _main proc near ,xcode,1
var_1C = dword ptr -1Ch  | * | var_C = dword ptr -0Ch ,data,1
var_18 = qword ptr -18h  | * | var_8 = dword ptr -8 ,data,1
"push rbp  | * | sub rsp, 20h ",xcode,1
"sub rsp, 20h  | * | lea rsi, [rbp+var_8] ",xcode,1
"mov rdi, cs:__ZNSt3__13cinE_ptr  | * | mov [rbp+var_4], 0 ",xcode,1
