idiom,label,count
"mov [rbp+var_220], rax  | * | mov [rbp+var_218], rax ",xcode,1
"mov rax, [rbp+var_220]  | * | mov rax, [rbp+var_218] ",xcode,1
"mov [rbp+var_218], rax  | * | cmp qword ptr [rax], 0 ",xcode,1
"mov rax, [rbp+var_218]  | * | jz loc_100001416 ",xcode,1
"cmp qword ptr [rax], 0  | * | lea rax, [rbp+var_350] ",xcode,1
"jz loc_100001416  | * | lea rcx, [rbp+var_1F0] ",xcode,1
"lea rax, [rbp+var_350]  | * | lea rdx, [rbp+var_1E0] ",xcode,1
"lea rcx, [rbp+var_1F0]  | * | lea rsi, _all ",xcode,1
"lea rdx, [rbp+var_1E0]  | * | mov [rbp+var_1F8], rsi ",xcode,1
"lea rsi, _all  | * | mov rsi, [rbp+var_1F8] ",xcode,1
"mov [rbp+var_1F8], rsi  | * | mov [rbp+var_1E8], rsi ",xcode,1
"mov rsi, [rbp+var_1F8]  | * | mov rsi, [rbp+var_1E8] ",xcode,1
"mov [rbp+var_1E8], rsi  | * | mov [rbp+var_1D8], rsi ",xcode,1
"mov rsi, [rbp+var_1E8]  | * | mov rsi, [rbp+var_1D8] ",xcode,1
"mov [rbp+var_1D8], rsi  | * | mov rsi, [rsi] ",xcode,1
"mov rsi, [rbp+var_1D8]  | * | mov [rbp+var_1C8], rdx ",xcode,1
"mov rsi, [rsi]  | * | mov [rbp+var_1D0], rsi ",xcode,1
"mov [rbp+var_1C8], rdx  | * | mov rdx, [rbp+var_1C8] ",xcode,2
"mov [rbp+var_1D0], rsi  | * | mov rsi, [rbp+var_1D0] ",xcode,1
"mov rdx, [rbp+var_1C8]  | * | mov [rbp+var_1B8], rdx ",xcode,3
"mov rsi, [rbp+var_1D0]  | * | mov [rbp+var_1C0], rsi ",xcode,1
"mov [rbp+var_1B8], rdx  | * | mov rdx, [rbp+var_1B8] ",xcode,1
"mov [rbp+var_1C0], rsi  | * | mov rsi, [rbp+var_1C0] ",xcode,1
"mov rdx, [rbp+var_1B8]  | * | mov [rdx], rsi ",xcode,1
"mov rsi, [rbp+var_1C0]  | * | mov rdx, [rbp+var_1E0] ",xcode,1
"mov [rdx], rsi  | * | mov [rbp+var_200], rdx ",xcode,1
"mov rdx, [rbp+var_1E0]  | * | mov rdx, [rbp+var_200] ",xcode,1
"mov [rbp+var_200], rdx  | * | mov [rbp+var_1A8], rcx ",xcode,1
"mov rdx, [rbp+var_200]  | * | mov [rbp+var_1B0], rdx ",xcode,1
"mov [rbp+var_1A8], rcx  | * | mov rcx, [rbp+var_1A8] ",xcode,1
"mov [rbp+var_1B0], rdx  | * | mov rdx, [rbp+var_1B0] ",xcode,2
"mov rcx, [rbp+var_1A8]  | * | mov [rbp+var_198], rcx ",xcode,1
"mov rdx, [rbp+var_1B0]  | * | mov [rbp+var_1A0], rdx ",xcode,1
"mov [rbp+var_198], rcx  | * | mov rcx, [rbp+var_198] ",xcode,4
