idiom,label,count
"mov [rbp+var_24], 0  | * | mov [rbp+var_2C], 0 ",xcode,1
"call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi   | * | mov [rbp+var_38], rax ",xcode,1
"mov [rbp+var_2C], 0  | * | loc_1000009AA:  ",xcode,1
"mov [rbp+var_38], rax  | * | mov eax, [rbp+var_2C] ",xcode,1
"loc_1000009AA:   | * | cmp eax, [rbp+var_28] ",xcode,1
"mov eax, [rbp+var_2C]  | * | jge loc_100000A51 ",xcode,1
"cmp eax, [rbp+var_28]  | * | mov rdi, cs:__ZNSt3__14cerrE_ptr ",xcode,1
"jge loc_100000A51  | * | mov esi, [rbp+var_2C] ",xcode,1
"mov rdi, cs:__ZNSt3__14cerrE_ptr  | * | call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEi  ",xcode,2
"mov esi, [rbp+var_2C]  | * | lea rsi, asc_100001F34  ",xcode,1
"call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEi   | * | mov rdi, rax ",xcode,4
"lea rsi, asc_100001F34   | * | call j___ZNSt3__1lsINS_11char_traitsIcEEEERNS_13basic_ostreamIcT_EES6_PKc  ",xcode,2
"mov rdi, rax  | * | mov esi, [rbp+var_28] ",xcode,2
"call j___ZNSt3__1lsINS_11char_traitsIcEEEERNS_13basic_ostreamIcT_EES6_PKc   | * | mov rdi, rax ",xcode,2
"mov esi, [rbp+var_28]  | * | call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEi  ",xcode,2
"mov rdi, rax  | * | mov esi, 20h  ",xcode,2
"mov esi, 20h   | * | call j___ZNSt3__1lsINS_11char_traitsIcEEEERNS_13basic_ostreamIcT_EES6_c  ",xcode,2
"mov rdi, rax  | * | mov [rbp+var_40], rax ",xcode,1
call j___ZNSt3__1lsINS_11char_traitsIcEEEERNS_13basic_ostreamIcT_EES6_c   | * | call _clock ,xcode,2
"mov [rbp+var_40], rax  | * | mov rdi, [rbp+var_40] ",xcode,1
"call _clock  | * | mov rsi, rax ",xcode,2
"mov rdi, [rbp+var_40]  | * | call __ZNSt3__113basic_ostreamIcNS_11char_traitsIcEEElsEm  ",xcode,1
